name,amenity,shop,longitude,latitude,market_type
Yeşilılgaz Market,,supermarket,29.1396164,40.9438792,local
Öztürk Gıda,,supermarket,28.8691787,41.0015762,local
Happy Center Süpermarket,,supermarket,28.9320739,41.0381755,unknown
Oruç,,supermarket,29.1001991,40.9570946,local
Mopaş,,supermarket,29.1442699,40.9762465,local
Köşem Tekel,,supermarket,29.1674984,40.8967704,local
Koçoğlular Market,,supermarket,29.1737965,41.0356957,local
KİM Market,,supermarket,28.8675158,41.1057715,local
Gökkuşağı,,supermarket,28.8632678,41.100311,local
Grup Gökkuşağı,,supermarket,28.8633195,41.099073,local
Palmiye Kuruyemiş,,supermarket,29.1768384,40.9069195,local
Grup Gökkuşağı,,supermarket,28.8573862,41.1123791,local
Grup Gökkuşağı,,supermarket,28.835069,41.1322583,local
Yataş (Bedding) Adatepe,,supermarket,29.1250785,40.9343756,local
İdeal Gıda,,supermarket,29.1172227,40.938199,local
Gökkuşağı,,supermarket,28.8324571,41.1338297,local
Çapanet,,supermarket,28.8342477,41.1330636,local
Kuruyemiş,,supermarket,29.1707855,40.9040428,local
Mopas,,supermarket,29.1399433,40.9390425,local
Tarim Kredi kooperatif marketi,,supermarket,29.1275786,40.9692391,local
Ekomar,,supermarket,29.1092276,40.9564933,local
Doğanlar,,supermarket,29.2250715,40.9086199,local
Uyum Süpermarket,,supermarket,29.2152668,40.9357356,local
Kılıç Market,,supermarket,29.107056,40.95054,local
Happy Center,,supermarket,29.1732036,41.0314146,unknown
Kapadokya Ucuzluk AVM,,supermarket,29.2269154,40.905042,unknown
Aydınlar Gıda Pazarı,,supermarket,29.2269014,40.9030324,local
Yılmar Market,,supermarket,28.9012467,41.0400502,local
Ayyıldızlar Market,,supermarket,28.8976816,41.0333886,local
Onur Group,,supermarket,29.3090278,40.8213225,local
Kartal Süpermarket,,supermarket,29.1901463,40.8904295,local
Ekomar,,supermarket,29.1085586,40.952219,local
Hakmar Express,,supermarket,29.1732546,40.9099519,chain
Demtaş,,supermarket,29.1019649,40.9521969,local
Akdağ Market,,supermarket,29.2748797,40.9477921,local
Kenan Bulut,,supermarket,29.2735375,40.9698055,local
Gül Market,,supermarket,29.2818019,40.9515682,local
Hakmar,,supermarket,29.2794061,40.9496556,chain
Yenibirrlik Market,,supermarket,29.2729058,40.9466827,local
Öztürk Gıda,,supermarket,29.2721416,40.9508068,local
İncivan Market,,supermarket,29.2767759,40.9439519,local
Oruçoğlu Market,,supermarket,29.2762441,40.9481912,local
Aziz Oğlu Market,,supermarket,29.2668207,40.9743434,local
Arvas Hiper Market,,supermarket,29.2671801,40.974773,local
Yakut,,supermarket,29.2751514,40.9672482,local
Aydın Market,,supermarket,29.2805005,40.9452468,local
Öksüz Market,,supermarket,29.2721975,40.9686798,local
Özgür Gıda,,supermarket,29.2803698,40.9718071,local
Gül Market,,supermarket,29.2698803,40.9461198,local
Morkoç Gıda,,supermarket,29.2713371,40.9454391,local
Alim Gıda,,supermarket,29.2813031,40.9704788,local
Pınar Market,,supermarket,29.2785489,40.9495749,local
VE_ KA Market,,supermarket,29.2719249,40.946295,local
Alkan,,supermarket,29.2688225,40.9701966,local
Baymar Hiper Market,,supermarket,29.2759982,40.9722786,local
Can Dostlar Market,,supermarket,29.2778519,40.9729023,local
Melek Market,,supermarket,29.2706434,40.9747334,local
Yığıt Market,,supermarket,29.2759773,40.9740114,local
Onur Gıda,,supermarket,29.2744836,40.9733337,local
Gül Mar,,supermarket,29.2724329,40.9749665,local
Genç Market,,supermarket,29.2675796,40.9551863,local
