name,amenity,longitude,latitude,health_type,name_norm
Baltalimanı Hastanesi,hospital,29.0535611,41.0964088,hospital,baltalimanı hastanesi
Özel Bağcılar Tekden Hastanesi,hospital,28.8449942,41.0479666,hospital,ozel bagcılar tekden hastanesi
Çevre Hastanesi,hospital,29.0013232,41.0672214,hospital,cevre hastanesi
Aksoy Hastanesi,hospital,29.0013661,41.0673508,hospital,aksoy hastanesi
Birinci Göz Hastanesi Beylikdüzü,hospital,28.6428053,41.0112282,hospital,birinci goz hastanesi beylikduzu
Dünya Göz Hastanesi Beykent,hospital,28.6274846,41.019077,hospital,dunya goz hastanesi beykent
Amerikan Hastanesi,hospital,28.9952948,41.0533806,hospital,amerikan hastanesi
Acıbadem Fulya Hastanesi,hospital,28.9995499,41.0557195,hospital,acıbadem fulya hastanesi
Özel Avcılar Anadolu Hastanesi,hospital,28.7061163,41.0054462,hospital,ozel avcılar anadolu hastanesi
Özel Medicana Hastanesi,hospital,28.7211479,40.9812753,hospital,ozel medicana hastanesi
Kasım Paşa Asker Hastanesi,hospital,28.964016,41.0327835,hospital,kasım pasa asker hastanesi
Alibey Hastanesi,hospital,28.9270647,41.0789994,hospital,alibey hastanesi
Koç Üniversitesi Hastanesi,hospital,28.9166504,41.0241414,hospital,koc universitesi hastanesi
Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi Bahçelievler Polikliniği,hospital,28.8560596,40.9970758,hospital,bakırkoy dr. sadi konuk egitim ve arastırma hastanesi bahcelievler poliklinigi
Beyoğlu Göz Hastanesi,hospital,28.9742012,41.0245743,hospital,beyoglu goz hastanesi
Özel Akgün Tem Hastanesi,hospital,28.8016254,41.0614165,hospital,ozel akgun tem hastanesi
Güney Hastanesi,hospital,28.8796744,41.0437273,hospital,guney hastanesi
Medipol Üniversitesi Fındıkzade Hastanesi,hospital,28.9400268,41.0125315,hospital,medipol universitesi fındıkzade hastanesi
Özel Fatih Hastanesi,hospital,28.9507717,41.0156766,hospital,ozel fatih hastanesi
İstanbul Cerrahi Hastanesi,hospital,28.9980027,41.0555721,hospital,istanbul cerrahi hastanesi
Surp Pırgiç Ermeni Hastanesi,hospital,28.9146943,40.9939323,hospital,surp pırgic ermeni hastanesi
Bağcılar Eğitim ve Araştırma Hastanesi,hospital,28.8712404,41.0301322,hospital,bagcılar egitim ve arastırma hastanesi
Saygı Hastanesi Ayak Sağlığı Birimi,hospital,29.257738,40.969457,hospital,saygı hastanesi ayak saglıgı birimi
Saygı Hastanesi,hospital,29.2581715,40.9697567,hospital,saygı hastanesi
Sultanbeyli Dünyagöz Hastanesi,hospital,29.2534249,40.9685018,hospital,sultanbeyli dunyagoz hastanesi
T.C. Sağlık Bakanlığı İstanbul Tacirler Eğitim Vakfı Sultanbeyli İlçe Devlet Hastanesi Merkez Polikliniği,hospital,29.265783,40.9636827,hospital,t.c. saglık bakanlıgı istanbul tacirler egitim vakfı sultanbeyli ilce devlet hastanesi merkez poliklinigi
Ersoy Hastanesi,hospital,29.2694043,40.966572,hospital,ersoy hastanesi
İstanbul Tacirler Eğitim Vakfı T.E.V. Sultanbeyli İlçe Devlet Hastanesi,hospital,29.2659788,40.965177,hospital,istanbul tacirler egitim vakfı t.e.v. sultanbeyli ilce devlet hastanesi
Sultanbeyli Avrupa Göz Hastanesi,hospital,29.2612337,40.9670638,hospital,sultanbeyli avrupa goz hastanesi
balıklı rum hastanesi vakfı,hospital,28.9175398,40.9996039,hospital,balıklı rum hastanesi vakfı
Yedikule Göğüş Hastalıkları Hastanesi,hospital,28.9152374,41.0021036,hospital,yedikule gogus hastalıkları hastanesi
Yedikule Surp PIRGIÇ ERMENI Hastanesi,hospital,28.9152516,40.9938689,hospital,yedikule surp pirgic ermeni hastanesi
SÜLEYMANİYE KADIN DOĞUM VE ÇOCUK HASTANESİ,hospital,28.9148279,40.9956164,hospital,suleymaniye kadin dogum ve cocuk hastanesi
MEDILIFE HASTANESİ,hospital,28.8595084,41.048796,hospital,medilife hastanesi
Özel Hospitalist Hastanesi,hospital,28.8550884,41.0345832,hospital,ozel hospitalist hastanesi
İstanbul Eğitim ve Araştırma Hastanesi Osmaniye Semt Poliklinği,hospital,28.8813608,40.9920204,hospital,istanbul egitim ve arastırma hastanesi osmaniye semt poliklingi
Gaziosmanpaşa Özel Başarı Hastanesi,hospital,28.9066811,41.0797533,hospital,gaziosmanpasa ozel basarı hastanesi
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Tıbbiye Binası,hospital,29.0257508,41.0043457,hospital,haydarpasa numune egitim ve arastırma hastanesi tıbbiye binası
Özel Pendik Şifa Hastanesi,hospital,29.2361908,40.88302,hospital,ozel pendik sifa hastanesi
Dünya Göz Hastanesi,hospital,29.2362412,40.8788795,hospital,dunya goz hastanesi
Haydarpaşa Numune Hastanesi,hospital,29.0227593,41.0044482,hospital,haydarpasa numune hastanesi
Özel Üsküdar Anadolu Hastanesi,hospital,29.0158947,41.0214296,hospital,ozel uskudar anadolu hastanesi
İstanbul Tema Hastanesi,hospital,28.7739432,41.0600854,hospital,istanbul tema hastanesi
Bezmialem Vakıf Üniversitesi Tıp Fakültesi Acil Tıp,hospital,28.9348553,41.0199922,other_health,bezmialem vakıf universitesi tıp fakultesi acil tıp
Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi Gümüşsuyu Binası,hospital,28.9900446,41.0375948,hospital,sisli hamidiye etfal egitim ve arastırma hastanesi gumussuyu binası
Kartal Dr. Lütfi Kırdar Eğitim ve Araştırma Hastanesi KADİR REZZAN HAS ADATEPE POLİKLİNİĞİ,hospital,29.1239632,40.9332716,hospital,kartal dr. lutfi kırdar egitim ve arastırma hastanesi kadir rezzan has adatepe poliklinigi
İstanbul Üniversitesi Tıp Fakültesi Hastanesi,hospital,28.9339596,41.0168625,hospital,istanbul universitesi tıp fakultesi hastanesi
Özel Avusturya Sen Jorj Hastanesi,hospital,28.9743145,41.0242924,hospital,ozel avusturya sen jorj hastanesi
Özel Asya Hastanesi,hospital,28.9038241,41.073873,hospital,ozel asya hastanesi
Özel Bilge Hastanesi,hospital,28.9073845,41.0695422,hospital,ozel bilge hastanesi
